offset,tt,src_easting_original,src_northing_original,src_elevation,rec_easting_original,rec_northing_original,rec_elevation,src_easting,src_northing,rec_easting,rec_northing,src_name,rec_name
390.16,0.29006,2702425.87,1172937.75,2250.32,2702035.880001,1172926.34,2219.08,1225.8700000001118,1437.75,835.8800010001287,1426.3400000000838,1226_1438, 836_1426
390.22,,2702368.15,1172938.37,2250.13,2701978.150002,1172925.37,2211.23,1168.1499999999069,1438.3700000001118,778.1500019999221,1425.3700000001118,1168_1438, 778_1425
390.79,,2702317.08,1172938.7,2260.32,2702707.25,1172960.77,2296.84,1117.0800000000745,1438.6999999999534,1507.25,1460.7700000000186,1117_1439,1507_1461
391.22,0.22876,2701957.400002,1172340.5599976,1910.46,2701738.170013,1172016.539978,1711.47,757.4000019999221,840.5599976000376,538.1700129997917,516.5399780001026, 757_ 841, 538_ 517
391.76,0.31538,2702258.74,1172937.88,2259.67,2702649.81,1172961.15,2287.45,1058.7400000002235,1437.8799999998882,1449.8100000000559,1461.1499999999069,1059_1438,1450_1461
392.08,0.34223000000000003,2701903.330002,1172251.4500122,1854.75,2702097.780001,1172591.9099998,2075.99,703.3300020000897,751.4500122000463,897.7800010000356,1091.9099997999147, 703_ 751, 898_1092
393.69,0.26694999999999997,2703042.85,1172938.58,2263.61,2702649.81,1172961.15,2287.45,1842.8500000000931,1438.5800000000745,1449.8100000000559,1461.1499999999069,1843_1439,1450_1461
393.88,0.30435,2701866.809998,1172190.6000061,1815.96,2702042.189999,1172543.2800007,2043.35,666.8099980000407,690.6000061000232,842.1899990001693,1043.2800006999169, 667_ 691, 842_1043
394.32,0.31229,2702258.74,1172937.88,2259.67,2701864.630005,1172924.99,2175.24,1058.7400000002235,1437.8799999998882,664.6300050001591,1424.9899999999907,1059_1438, 665_1425
394.65,0.21514,2701680.690002,1171863.0999756,1625.16,2701876.380005,1172205.8200073,1826.27,480.69000199995935,363.09997559990734,676.3800050001591,705.8200073000044, 481_ 363, 676_ 706
394.68,0.38787,2702099.559999,1172586.6999998,2073.61,2702293.0,1172930.73,2261.99,899.5599989998154,1086.699999799952,1093.0,1430.7299999999814, 900_1087,1093_1431
394.73,0.28264999999999996,2702987.34,1172939.48,2274.64,2702593.18,1172960.69,2269.36,1787.339999999851,1439.4799999999814,1393.1800000001676,1460.6899999999441,1787_1439,1393_1461
394.74,,2702070.61,1172537.8499985,2047.74,2702265.92,1172880.89,2238.28,870.6099999998696,1037.8499984999653,1065.9199999999255,1380.8899999998976, 871_1038,1066_1381
394.89,0.29394,2702929.54,1172940.78,2285.34,2702535.05,1172958.65,2264.45,1729.5400000000373,1440.780000000028,1335.0499999998137,1458.6499999999069,1730_1441,1335_1459
395.27,0.18391,2701844.809998,1172148.25,1795.42,2701626.600006,1171818.6699829,1586.54,644.8099980000407,648.25,426.6000060001388,318.6699828999117, 645_ 648, 427_ 319
395.65,0.27220999999999995,2701820.700012,1172102.5400085,1769.89,2702015.209999,1172447.0699997,1980.88,620.700011999812,602.5400084999856,815.209999000188,947.0699996999465, 621_ 603, 815_ 947
395.77,,2701922.860001,1172301.2000122,1883.35,2702126.380001,1172640.6299973,2104.92,722.8600010001101,801.2000122000463,926.3800010001287,1140.629997299984, 723_ 801, 926_1141
395.83,0.17679,2701617.309998,1171755.4000244,1566.17,2701793.089996,1172110.0599976,1763.93,417.30999800004065,255.40002440009266,593.0899959998205,610.0599976000376, 417_ 255, 593_ 610
395.85,,2702126.029999,1172633.5900002,2101.59,2702318.96,1172979.24,2270.17,926.0299990000203,1133.5900002000853,1118.9599999999627,1479.2399999999907, 926_1134,1119_1479
396.36,0.25908,2701794.130005,1172053.4899902,1750.74,2701988.580002,1172398.8699951,1950.51,594.1300050001591,553.4899901999161,788.5800020000897,898.869995099958, 594_ 553, 789_ 899
396.58,,2702317.08,1172938.7,2260.32,2701920.740005,1172924.93,2194.75,1117.0800000000745,1438.6999999999534,720.7400050000288,1424.9299999999348,1117_1439, 721_1425
396.9,,2702014.110001,1172440.7700043,1978.09,2702209.7,1172786.13,2213.84,814.1100010001101,940.770004299935,1009.7000000001863,1286.1299999998882, 814_ 941,1010_1286
397.14,0.2746,2702041.43,1172488.1299973,2012.52,2701820.179993,1172158.3299866,1787.37,841.4300000001676,988.1299972999841,620.1799929998815,658.3299865999725, 841_ 988, 620_ 658
397.34,,2702153.959999,1172681.68,2138.66,2702347.76,1173028.55,2274.81,953.959999000188,1181.6799999999348,1147.7599999997765,1528.5500000000466, 954_1182,1148_1529
397.44,0.29727,2702874.94,1172937.83,2289.76,2702477.96,1172957.0,2260.93,1674.9399999999441,1437.8300000000745,1277.9599999999627,1457.0,1675_1438,1278_1457
397.59,,2702041.43,1172488.1299973,2012.52,2702238.04,1172833.71,2226.58,841.4300000001676,988.1299972999841,1038.0400000000373,1333.7099999999627, 841_ 988,1038_1334
397.65,0.30451,2701810.019989,1172939.62,2166.88,2702207.52,1172928.59,2247.94,610.0199890001677,1439.6200000001118,1007.5200000000186,1428.5900000000838, 610_1440,1008_1429
397.74,0.23592,2701986.589996,1172391.8699951,1946.76,2701766.149994,1172060.8099976,1744.27,786.5899959998205,891.869995099958,566.1499939998612,560.8099976000376, 787_ 892, 566_ 561
397.77,0.26277999999999996,2702014.110001,1172440.7700043,1978.09,2701793.089996,1172110.0599976,1763.93,814.1100010001101,940.770004299935,593.0899959998205,610.0599976000376, 814_ 941, 593_ 610
397.79,0.30275,2701923.559998,1172938.77,2199.99,2702321.29,1172931.75,2254.67,723.5599980000407,1438.7700000000186,1121.2900000000373,1431.75, 724_1439,1121_1432
397.8,0.32819,2702196.5,1172930.82,2247.7,2702593.18,1172960.69,2269.36,996.5,1430.8200000000652,1393.1800000001676,1460.6899999999441, 996_1431,1393_1461
398.01,0.25231,2701733.420013,1171957.4400024,1687.45,2701931.350006,1172302.75,1884.26,533.4200129997917,457.4400023999624,731.3500060001388,802.75, 533_ 457, 731_ 803
398.24,0.21425,2701922.860001,1172301.2000122,1883.35,2701709.220001,1171965.1099854,1676.29,722.8600010001101,801.2000122000463,509.2200009999797,465.1099853999913, 723_ 801, 509_ 465
398.27,0.31442000000000003,2701865.770004,1172939.88,2179.24,2702263.91,1172929.81,2258.07,665.7700040000491,1439.8799999998882,1063.910000000149,1429.8100000000559, 666_1440,1064_1430
398.41,,2701986.589996,1172391.8699951,1946.76,2702181.84,1172739.16,2178.28,786.5899959998205,891.869995099958,981.839999999851,1239.1599999999162, 787_ 892, 982_1239
398.5,0.21475999999999998,2701866.809998,1172190.6000061,1815.96,2701668.609985,1171844.8800049,1610.52,666.8099980000407,690.6000061000232,468.6099849999882,344.88000490004197, 667_ 691, 469_ 345
398.51,0.35331,2702153.959999,1172681.68,2138.66,2701931.75,1172350.8699951,1920.26,953.959999000188,1181.6799999999348,731.75,850.869995099958, 954_1182, 732_ 851
398.55,,2702819.13,1172938.19,2289.82,2702421.0,1172956.58,2259.46,1619.1299999998882,1438.1899999999441,1221.0,1456.5800000000745,1619_1438,1221_1457
399.32,0.34055,2702126.029999,1172633.5900002,2101.59,2701902.929993,1172302.4100037,1884.99,926.0299990000203,1133.5900002000853,702.9299929998815,802.4100037000608, 926_1134, 703_ 802
399.35,0.19449,2701647.559998,1171813.8499756,1594.16,2701849.679993,1172158.269989,1802.75,447.55999800004065,313.84997559990734,649.6799929998815,658.2699889999349, 448_ 314, 650_ 658
399.58,0.24453,2701762.579987,1172003.8699951,1716.71,2701961.089996,1172350.6499939,1917.11,562.5799870002083,503.86999509995803,761.0899959998205,850.6499938999768, 563_ 504, 761_ 851
399.84,0.29660000000000003,2701844.809998,1172148.25,1795.42,2702042.169998,1172495.9899979,2016.81,644.8099980000407,648.25,842.1699979999103,995.9899979000911, 645_ 648, 842_ 996
399.91,0.35547,2702099.559999,1172586.6999998,2073.61,2701876.020004,1172255.1000061,1854.24,899.5599989998154,1086.699999799952,676.0200040000491,755.1000061000232, 900_1087, 676_ 755
399.94,0.30075,2702070.61,1172537.8499985,2047.74,2701847.690002,1172205.7999878,1819.01,870.6099999998696,1037.8499984999653,647.6900019999593,705.7999877999537, 871_1038, 648_ 706
400.15,0.2908,2702764.17,1172937.64,2291.74,2702364.45,1172956.09,2256.39,1564.1699999999255,1437.6399999998976,1164.4500000001863,1456.0900000000838,1564_1438,1164_1456
400.3,0.39004,2702174.029999,1172736.72,2177.18,2701959.629997,1172398.6799927,1947.21,974.0299990000203,1236.719999999972,759.6299970000982,898.6799926999956, 974_1237, 760_ 899
400.4,0.26981,2701977.199997,1172938.14,2216.54,2702377.54,1172931.39,2247.1,777.1999969999306,1438.1399999998976,1177.5400000000373,1431.3899999998976, 777_1438,1178_1431
400.72,0.32624000000000003,2702034.740002,1172938.39,2220.1,2702435.43,1172933.77,2249.22,834.7400019997731,1438.3899999998976,1235.4300000001676,1433.7700000000186, 835_1438,1235_1434
400.79,0.39398,2702211.29,1172778.71,2209.33,2701986.919998,1172446.6100006,1975.07,1011.2900000000373,1278.7099999999627,786.9199979999103,946.610000600107,1011_1279, 787_ 947
400.89,0.36795999999999995,2702265.08,1172876.49,2236.29,2702042.189999,1172543.2800007,2043.35,1065.0800000000745,1376.4899999999907,842.1899990001693,1043.2800006999169,1065_1376, 842_1043
401.6,0.3008,2702091.33,1172937.71,2230.38,2702492.92,1172934.77,2250.83,891.3300000000745,1437.7099999999627,1292.9199999999255,1434.7700000000186, 891_1438,1293_1435
401.74,0.21727000000000002,2701706.309998,1171905.3699951,1654.35,2701903.899994,1172255.1600037,1855.57,506.30999800004065,405.36999509995803,703.8999939998612,755.1600037000608, 506_ 405, 704_ 755
401.88,0.29883,2702651.16,1172938.45,2279.58,2702249.65,1172955.8,2262.14,1451.160000000149,1438.4499999999534,1049.6499999999069,1455.8000000000466,1451_1438,1050_1456
402.28,,2702595.07,1172938.85,2263.52,2702193.11,1172954.89,2253.76,1395.0699999998324,1438.8500000000931,993.1099999998696,1454.8899999998976,1395_1439, 993_1455
402.44,,2702708.11,1172936.64,2288.94,2702306.12,1172955.69,2270.57,1508.1099999998696,1436.6399999998976,1106.1200000001118,1455.6899999999441,1508_1437,1106_1456
402.55,0.22305,2701903.330002,1172251.4500122,1854.75,2701680.730011,1171916.0499878,1645.19,703.3300020000897,751.4500122000463,480.7300109998323,416.04998779995367, 703_ 751, 481_ 416
402.66,0.38523,2702240.51,1172828.18,2226.41,2702014.07,1172495.2200012,2008.13,1040.5099999997765,1328.1799999999348,814.0699999998324,995.2200011999812,1041_1328, 814_ 995
403.35,,2702349.85,1173024.38,2274.19,2702126.049999,1172688.81,2139.08,1149.8500000000931,1524.3799999998882,926.049999000039,1188.8100000000559,1150_1524, 926_1189
403.41,,2702482.05,1172938.8,2252.25,2702078.85,1172951.69,2231.71,1282.0499999998137,1438.8000000000466,878.8500000000931,1451.6899999999441,1282_1439, 879_1452
403.64,,2702317.08,1172938.7,2260.32,2702720.72,1172937.92,2291.01,1117.0800000000745,1438.6999999999534,1520.720000000205,1437.9199999999255,1117_1439,1521_1438
404.04,,2702538.21,1172939.27,2255.81,2702134.389999,1172952.53,2244.23,1338.2099999999627,1439.2700000000186,934.3899989998899,1452.530000000028,1338_1439, 934_1453
404.19,,2702145.699997,1172935.61,2243.58,2702549.89,1172935.0,2255.7,945.6999969999306,1435.6100000001024,1349.8900000001304,1435.0, 946_1436,1350_1435
404.43,,2702368.15,1172938.37,2250.13,2701963.849998,1172948.79,2215.81,1168.1499999999069,1438.3700000001118,763.8499980000779,1448.7900000000373,1168_1438, 764_1449
404.77,,2702196.5,1172930.82,2247.7,2701791.98999,1172945.31,2159.6,996.5,1430.8200000000652,591.9899900001474,1445.3100000000559, 996_1431, 592_1445
404.99,0.32579,2702258.74,1172937.88,2259.67,2702663.73,1172937.29,2281.51,1058.7400000002235,1437.8799999998882,1463.7299999999814,1437.2900000000373,1059_1438,1464_1437
405.09,0.38025,2702323.54,1172975.8,2271.06,2702097.24,1172639.8199997,2103.09,1123.5400000000373,1475.8000000000466,897.2400000002235,1139.8199996999465,1124_1476, 897_1140
405.18,,2702294.31,1172926.25,2260.6,2702067.7,1172590.3600006,2076.67,1094.3100000000559,1426.25,867.7000000001863,1090.360000600107,1094_1426, 868_1090
405.24,0.29952999999999996,2702425.87,1172937.75,2250.32,2702020.82,1172950.01,2224.12,1225.8700000001118,1437.75,820.8199999998324,1450.0100000000093,1226_1438, 821_1450
407.04,,2701903.330002,1172251.4500122,1854.75,2702083.68,1172616.3600006,2089.99,703.3300020000897,751.4500122000463,883.6800000001676,1116.360000600107, 703_ 751, 884_1116
407.11,0.20292,2701844.809998,1172148.25,1795.42,2701641.209991,1171795.710022,1584.99,644.8099980000407,648.25,441.20999100012705,295.71002199989744, 645_ 648, 441_ 296
407.15,0.30062,2703042.85,1172938.58,2263.61,2702635.71,1172935.82,2271.0,1842.8500000000931,1438.5800000000745,1435.7099999999627,1435.8200000000652,1843_1439,1436_1436
407.18,,2701957.400002,1172340.5599976,1910.46,2701751.700012,1171989.1599731,1706.44,757.4000019999221,840.5599976000376,551.700011999812,489.1599731000606, 757_ 841, 552_ 489
407.55,0.32338,2701866.809998,1172190.6000061,1815.96,2702070.41,1172543.6499996,2050.86,666.8099980000407,690.6000061000232,870.410000000149,1043.6499995999038, 667_ 691, 870_1044
407.72,0.19154,2701617.309998,1171755.4000244,1566.17,2701820.399994,1172108.9400024,1771.72,417.30999800004065,255.40002440009266,620.3999939998612,608.9400023999624, 417_ 255, 620_ 609
408.02,0.29646,2702929.54,1172940.78,2285.34,2702521.57,1172934.52,2253.59,1729.5400000000373,1440.780000000028,1321.5699999998324,1434.5200000000186,1730_1441,1322_1435
408.7,0.28907,2702987.34,1172939.48,2274.64,2702578.65,1172936.3,2259.71,1787.339999999851,1439.4799999999814,1378.6499999999069,1436.3000000000466,1787_1439,1379_1436
409.14,0.21286000000000002,2701680.690002,1171863.0999756,1625.16,2701862.080002,1172229.8299866,1834.32,480.69000199995935,363.09997559990734,662.0800020000897,729.8299865999725, 481_ 363, 662_ 730
409.38,0.39209,2702153.959999,1172681.68,2138.66,2702331.8,1173050.41,2279.13,953.959999000188,1181.6799999999348,1131.7999999998137,1550.4099999999162, 954_1182,1132_1550
