station_number,northing_original,easting_original,elevation,easting,northing
5553,1172852.55981818,2702449.08227273,2221.29918181818,1249.0822727298364,1352.559818180045
5554,1172853.46690909,2702449.06663636,2221.72909090909,1249.0666363597848,1353.466909090057
5555,1172854.374,2702449.051,2222.159,1249.0509999999776,1354.374000000069
5556,1172855.28044444,2702449.13422222,2222.48833333333,1249.1342222201638,1355.2804444399662
5557,1172856.18688889,2702449.21744444,2222.81766666667,1249.2174444398843,1356.186888890108
5558,1172857.09333333,2702449.30066667,2223.147,1249.3006666698493,1357.0933333300054
5559,1172857.99977778,2702449.38388889,2223.47633333333,1249.3838888900355,1357.9997777799144
5560,1172858.90622222,2702449.46711111,2223.80566666667,1249.4671111102216,1358.9062222200446
5561,1172859.81266667,2702449.55033333,2224.135,1249.550333329942,1359.8126666699536
5562,1172860.71911111,2702449.63355556,2224.46433333333,1249.633555559907,1360.7191111100838
5563,1172861.62555556,2702449.71677778,2224.79366666667,1249.7167777800933,1361.6255555599928
5564,1172862.532,2702449.8,2225.123,1249.7999999998137,1362.53199999989
5565,1172863.425,2702449.96333333,2225.53233333333,1249.9633333301172,1363.4250000000466
5566,1172864.318,2702450.12666667,2225.94166666667,1250.1266666701995,1364.3179999999702
5567,1172865.211,2702450.29,2226.351,1250.2900000000373,1365.2109999998938
5568,1172866.104,2702450.45333333,2226.76033333333,1250.453333329875,1366.1040000000503
5569,1172866.997,2702450.61666667,2227.16966666667,1250.6166666699573,1366.996999999974
5570,1172867.89,2702450.78,2227.579,1250.779999999795,1367.8899999998976
5571,1172868.783,2702450.94333333,2227.98833333333,1250.9433333300985,1368.783000000054
5572,1172869.676,2702451.10666667,2228.39766666667,1251.1066666701809,1369.6759999999776
5573,1172870.569,2702451.27,2228.807,1251.2700000000186,1370.5689999999013
5574,1172871.5602,2702451.3096,2229.185,1251.309599999804,1371.560199999949
5575,1172872.5514,2702451.3492,2229.563,1251.3492000000551,1372.5513999999966
5576,1172873.5426,2702451.3888,2229.941,1251.3887999998406,1373.5426000000443
5577,1172874.5338,2702451.4284,2230.319,1251.4284000000916,1374.533800000092
5578,1172875.525,2702451.468,2230.697,1251.467999999877,1375.5249999999069
5579,1172876.5162,2702451.5076,2231.075,1251.5076000001281,1376.5161999999546
5580,1172877.5074,2702451.5472,2231.453,1251.5471999999136,1377.5074000000022
5581,1172878.4986,2702451.5868,2231.831,1251.5868000001647,1378.49860000005
5582,1172879.4898,2702451.6264,2232.209,1251.62639999995,1379.4898000000976
5583,1172880.481,2702451.666,2232.587,1251.6660000002012,1380.4809999999125
5584,1172881.48971429,2702451.48414286,2232.889,1251.484142859932,1381.4897142900154
5585,1172882.49842857,2702451.30228572,2233.191,1251.3022857201286,1382.4984285701066
5586,1172883.50714286,2702451.12042857,2233.493,1251.1204285700805,1383.5071428599767
5587,1172884.51585714,2702450.93857143,2233.795,1250.9385714298114,1384.515857140068
5588,1172885.52457143,2702450.75671429,2234.097,1250.756714290008,1385.524571429938
5589,1172886.53328571,2702450.57485714,2234.399,1250.57485713996,1386.5332857100293
5590,1172887.542,2702450.393,2234.701,1250.3930000001565,1387.5419999998994
5591,1172888.55071429,2702450.21114286,2235.003,1250.2111428598873,1388.5507142900024
5592,1172889.55942857,2702450.02928571,2235.305,1250.0292857098393,1389.5594285700936
5593,1172890.56814286,2702449.84742857,2235.607,1249.8474285700358,1390.5681428599637
5594,1172891.57685714,2702449.66557143,2235.909,1249.6655714302324,1391.576857140055
5595,1172892.58557143,2702449.48371429,2236.211,1249.4837142899632,1392.585571429925
5596,1172893.59428571,2702449.30185714,2236.513,1249.3018571399152,1393.5942857100163
5597,1172894.603,2702449.12,2236.815,1249.1200000001118,1394.6029999998864
5598,1172895.6425,2702448.855,2237.0825,1248.8549999999814,1395.6425000000745
