name,station_number,elevation,easting_original,northing_original,easting,northing
1062_1527,1037,2271.566,2702261.516,1173026.817,1061.5159999998286,1526.8170000000391
1090_1527,1038,2270.54,2702289.662,1173026.552,1089.6620000000112,1526.5519999999087
1119_1527,1039,2271.716,2702319.282,1173026.679,1119.282000000123,1526.6790000000037
1148_1529,1040,2274.812,2702347.764,1173028.545,1147.7639999999665,1528.5449999999255
1176_1528,1041,2283.015,2702375.504,1173027.988,1175.50400000019,1527.9879999998957
1204_1528,1042,2287.233,2702403.828,1173028.489,1203.8280000002123,1528.4890000000596
1234_1529,1043,2287.036,2702433.919,1173029.191,1233.9190000002272,1529.191000000108
1262_1529,1044,2283.344,2702462.215,1173029.215,1262.214999999851,1529.2150000000838
1290_1530,1045,2285.774,2702490.081,1173030.244,1290.0809999997728,1530.2439999999478
1319_1528,1046,2288.319,2702518.512,1173028.183,1318.5120000001043,1528.1829999999609
1348_1530,1047,2287.314,2702547.744,1173030.13,1347.7439999999478,1530.1299999998882
1376_1530,1048,2289.937,2702575.602,1173030.039,1375.6019999999553,1530.0390000001062
1404_1532,1049,2298.304,2702603.709,1173031.83,1403.7089999997988,1531.8300000000745
1434_1532,1050,2308.179,2702633.788,1173032.386,1433.788000000175,1532.3859999999404
1461_1534,1051,2313.933,2702660.55,1173033.544,1460.5499999998137,1533.5439999999944
1490_1532,1052,2319.833,2702690.333,1173031.946,1490.3330000001006,1531.9459999999963
1516_1535,1053,2327.681,2702716.368,1173035.477,1516.367999999784,1535.4769999999553
1547_1534,1054,2331.339,2702746.981,1173034.039,1546.9810000001453,1534.0390000001062
 593_1495,1056,2176.517,2701792.844,1172995.407,592.844000000041,1495.40699999989
 621_1495,1057,2186.636,2701821.131,1172995.435,621.1310000000522,1495.4350000000559
 651_1495,1058,2196.074,2701850.796,1172994.541,650.7960000000894,1494.5409999999683
 678_1495,1059,2203.94,2701878.094,1172995.482,678.094000000041,1495.4820000000764
 706_1496,1060,2210.473,2701906.483,1172996.312,706.4830000000075,1496.311999999918
 735_1497,1061,2218.596,2701934.903,1172997.163,734.902999999933,1497.1629999999423
 764_1497,1062,2221.055,2701963.665,1172997.413,763.6650000000373,1497.4129999999423
 792_1497,1063,2227.096,2701992.153,1172997.4,792.152999999933,1497.3999999999069
 821_1498,1064,2231.461,2702020.738,1172997.679,820.7379999998957,1497.6790000000037
 849_1498,1065,2237.062,2702048.591,1172998.35,848.5910000000149,1498.3500000000931
